no	hk	8667.82
it	ec	10205.11
it	fr	957.61
it	ar	11784.63
it	fi	2395.25
it	no	2086.8
it	it	0.0
it	lt	1692.33
it	ph	10581.35
it	tw	9668.51
it	nz	18537.78
it	ee	2051.72
it	tr	1940.74
it	us	8618.64
it	sv	9908.83
it	cr	9801.73
it	de	1045.85
it	cl	12130.59
it	jp	9728.23
it	br	9069.19
it	hn	9592.97
it	gt	9861.66
it	ch	649.03
it	hu	804.62
it	ca	7704.88
it	pe	10489.11
it	be	1142.9
it	my	9645.82
it	dk	1615.34
it	bo	10110.29
it	pl	1222.65
it	at	646.8
it	pt	1771.28
it	se	2071.85
it	mx	10147.29
it	pa	9649.66
it	uy	10818.6
it	is	3243.23
it	es	1372.57
it	cz	911.49
it	ie	2006.2
it	nl	1265.77
it	sk	938.57
it	co	9408.68
it	sg	10010.39
it	id	11003.53
it	do	8041.7
it	lu	1013.37
it	gb	1897.96
it	al	637.66
it	py	10282.64
it	au	14380.86
it	lv	1876.18
it	gr	841.95
it	hk	9262.81
lt	ec	10937.62
lt	fr	1809.59
lt	ar	13273.16
lt	fi	758.74
lt	no	1082.53
lt	it	1692.33
lt	lt	0.0
lt	ph	9327.21
lt	tw	8295.42
lt	nz	17369.08
lt	ee	387.06
lt	tr	1990.95
lt	us	8265.17
lt	sv	10128.31
lt	cr	10208.0
lt	de	997.54
lt	cl	13510.04
lt	jp	8101.51
lt	br	10428.48
lt	hn	9844.0
lt	gt	10015.08
lt	ch	1430.39
lt	hu	940.7
lt	ca	6846.69
lt	pe	11409.01
lt	be	1397.47
lt	my	8868.45
lt	dk	907.09
lt	bo	11329.2
lt	pl	477.8
lt	at	1067.73
lt	pt	2947.49
lt	se	632.89
lt	mx	9890.32
lt	pa	10141.57
lt	uy	12317.5
lt	is	2552.98
lt	es	2602.94
lt	cz	822.4
lt	ie	2075.35
lt	nl	1266.53
lt	sk	777.26
lt	co	10106.31
lt	sg	9246.36
lt	id	10081.64
lt	do	8557.92
lt	lu	1336.05
lt	gb	1719.29
lt	al	1582.01
lt	py	11660.1
lt	au	13537.29
lt	lv	195.37
lt	gr	1796.18
lt	hk	7994.72
ph	ec	17496.97
ph	fr	11106.64
ph	ar	17125.22
ph	fi	9057.43
ph	no	9982.38
ph	it	10581.35
ph	lt	9327.21
ph	ph	0.0
ph	tw	1205.91
ph	nz	8090.4
ph	ee	9173.6
ph	tr	8814.93
ph	us	13215.51
ph	sv	15518.18
ph	cr	16235.84
ph	de	10317.07
ph	cl	17149.56
ph	jp	3072.15
ph	br	19316.64
ph	hn	15626.45
ph	gt	15265.9
ph	ch	10670.57
ph	hu	9863.17
ph	ca	11144.5
ph	pe	18137.07
ph	be	10724.67
ph	my	2378.53
ph	dk	10133.36
ph	bo	19323.72
ph	pl	9726.64
ph	at	10201.83
ph	pt	12235.52
ph	se	9477.73
ph	mx	13713.39
ph	pa	16567.63
ph	uy	17815.71
ph	is	10758.79
ph	es	11856.74
ph	cz	10046.88
ph	ie	11255.07
ph	nl	10586.77
ph	sk	9798.67
ph	co	17384.25
ph	sg	2356.4
ph	id	1749.33
ph	do	16263.24
ph	lu	10657.61
ph	gb	10875.6
ph	al	10013.28
ph	py	18839.43
ph	au	4437.26
ph	lv	9239.46
ph	gr	9945.01
ph	hk	1333.12
tw	ec	16826.89
tw	fr	10099.04
tw	ar	18321.18
tw	fi	7962.4
tw	no	8873.02
tw	it	9668.51
tw	lt	8295.42
tw	ph	1205.91
tw	tw	0.0
tw	nz	9083.97
tw	ee	8108.65
tw	tr	8026.49
tw	us	12240.59
tw	sv	14731.03
tw	cr	15426.59
tw	de	9292.66
tw	cl	18219.59
tw	jp	2163.78
tw	br	18723.82
tw	hn	14775.47
tw	gt	14468.53
tw	ch	9682.51
tw	hu	8911.98
tw	ca	10085.51
tw	pe	17672.44
tw	be	9686.06
tw	my	2973.43
tw	dk	9059.48
tw	bo	19063.39
tw	pl	8719.57
tw	at	9229.94
tw	pt	11237.62
tw	se	8389.24
tw	mx	12960.97
tw	pa	15721.37
tw	uy	18981.88
tw	is	9577.53
tw	es	10875.31
tw	cz	9052.39
tw	ie	10148.93
tw	nl	9536.44
tw	sk	8830.05
tw	co	16462.25
tw	sg	3095.63
tw	id	2826.91
tw	do	15144.12
tw	lu	9631.43
tw	gb	9772.29
tw	al	9141.88
tw	py	19947.11
tw	au	5617.36
tw	lv	8191.06
tw	gr	9109.25
tw	hk	715.65
nz	ec	11283.85
nz	fr	19178.52
nz	ar	9385.39
nz	fi	16902.38
nz	no	17647.79
nz	it	18537.78
nz	lt	17369.08
nz	ph	8090.4
nz	tw	9083.97
nz	nz	0.0
nz	ee	17133.23
nz	tr	16597.05
nz	us	12549.39
nz	sv	11522.34
nz	cr	11666.92
nz	de	18363.21
nz	cl	9135.96
nz	jp	9351.72
nz	br	12220.0
nz	hn	11842.68
nz	gt	11551.16
nz	ch	18760.84
nz	hu	17937.14
nz	ca	13063.62
nz	pe	10978.13
nz	be	18714.89
nz	my	8896.45
nz	dk	18004.98
nz	bo	11261.84
nz	pl	17803.52
nz	at	18289.26
nz	pt	19701.55
nz	se	17326.38
nz	mx	11113.73
nz	pa	11829.86
nz	uy	10338.88
nz	is	17195.7
nz	es	19889.21
nz	cz	18134.06
nz	ie	18603.26
nz	nl	18536.34
nz	sk	17886.34
nz	co	12081.76
nz	sg	8530.29
nz	id	7552.45
nz	do	13433.34
nz	lu	18692.53
nz	gb	18399.69
nz	al	17900.71
nz	py	10989.89
nz	au	4157.41
nz	lv	17245.54
nz	gr	17719.33
nz	hk	9421.95
ee	ec	10941.66
ee	fr	2050.91
ee	ar	13495.23
ee	fi	372.34
ee	no	953.05
ee	it	2051.72
ee	lt	387.06
ee	ph	9173.6
ee	tw	8108.65
ee	nz	17133.23
ee	ee	0.0
ee	tr	2301.84
ee	us	8050.26
ee	sv	10017.24
ee	cr	10138.92
ee	de	1240.31
ee	cl	13687.34
ee	jp	7808.88
ee	br	10617.89
ee	hn	9742.71
ee	gt	9890.44
ee	ch	1720.47
ee	hu	1322.79
ee	ca	6547.23
ee	pe	11458.66
ee	be	1591.24
ee	my	8854.7
ee	dk	961.54
ee	bo	11467.3
ee	pl	829.49
ee	at	1412.8
ee	pt	3172.76
ee	se	398.96
ee	mx	9681.2
ee	pa	10093.42
ee	uy	12548.81
ee	is	2365.61
ee	es	2852.38
ee	cz	1154.05
ee	ie	2121.9
ee	nl	1430.89
ee	sk	1157.09
ee	co	10109.13
ee	sg	9232.6
ee	id	10018.69
ee	do	8531.0
ee	lu	1559.58
ee	gb	1746.16
ee	al	1968.94
ee	py	11848.75
ee	au	13460.79
ee	lv	192.31
ee	gr	2182.45
ee	hk	7845.67
tr	ec	12143.27
tr	fr	2798.73
tr	ar	13229.79
tr	fi	2633.63
tr	no	3026.26
tr	it	1940.74
tr	lt	1990.95
tr	ph	8814.93
tr	tw	8026.49
tr	nz	16597.05
tr	ee	2301.84
tr	tr	0.0
tr	us	10181.16
tr	sv	11774.25
tr	cr	11715.7
tr	de	2354.6
tr	cl	13710.58
tr	jp	8527.3
tr	br	10756.71
tr	hn	11466.03
tr	gt	11703.68
tr	ch	2353.09
tr	hu	1565.59
tr	ca	8837.4
tr	pe	12395.59
tr	be	2721.2
tr	my	7712.15
tr	dk	2694.1
tr	bo	11887.99
tr	pl	1902.51
tr	at	1918.43
tr	pt	3709.67
tr	se	2623.35
tr	mx	11785.6
tr	pa	11577.52
tr	uy	12282.5
tr	is	4488.24
tr	es	3312.08
tr	cz	1970.61
tr	ie	3639.97
tr	nl	2724.19
tr	sk	1643.54
tr	co	11349.27
tr	sg	8074.22
tr	id	9086.66
tr	do	9966.5
tr	lu	2586.15
tr	gb	3382.3
tr	al	1304.07
tr	py	11921.75
tr	au	12440.78
tr	lv	2138.17
tr	gr	1158.24
tr	hk	7534.73
us	ec	4690.5
us	fr	7665.22
us	ar	9017.25
us	fi	7822.92
us	no	7186.46
us	it	8618.64
us	lt	8265.17
us	ph	13215.51
us	tw	12240.59
us	nz	12549.39
us	ee	8050.26
us	tr	10181.16
us	us	0.0
us	sv	2677.11
us	cr	3268.87
us	de	7861.09
us	cl	8466.44
us	jp	10149.95
us	br	7316.57
us	hn	2607.41
us	gt	2429.9
us	ch	8010.82
us	hu	8651.64
us	ca	2261.43
us	pe	5580.07
us	be	7553.53
us	my	15069.77
us	dk	7487.55
us	bo	6822.81
us	pl	8279.33
us	at	8343.54
